icd10;entity_level_10;entity_level_11;entity_level_12;entity_level_13;entity_level_20;entity_level_30
c472;980;990;970;;;410
c473;980;990;970;;;410
c474;980;990;970;;;410
c475;980;990;970;;;410
c476;980;990;970;;;410
c478;980;990;970;;;410
c479;980;990;970;;;410
c48;980;990;970;;;410
c480;980;990;970;;;410
c481;980;990;970;;;410
c482;980;990;970;;;410
c488;980;990;970;;;410
c49;980;990;970;;;350
c490;980;990;970;;;350
c491;980;990;970;;;350
c492;980;990;970;;;350
c493;980;990;970;;;350
c494;980;990;970;;;350
c495;980;990;970;;;350
c496;980;990;970;;;350
c498;980;990;970;;;350
c499;980;990;970;;;350
c50;980;990;;;;180
c500;980;990;;;;180
c501;980;990;;;;180
c502;980;990;;;;180
c503;980;990;;;;180
c504;980;990;;;;180
c505;980;990;;;;180
c506;980;990;;;;180
c508;980;990;;;;180
c509;980;990;;;;180
c51;980;990;970;;230;227
c510;980;990;970;;230;227
c511;980;990;970;;230;227
c512;980;990;970;;230;227
c518;980;990;970;;230;227
c519;980;990;970;;230;227
c52;980;990;970;;230;228
c53;980;990;970;;;190
c530;980;990;970;;;190
c531;980;990;970;;;190
c538;980;990;970;;;190
c539;980;990;970;;;190
c54;980;990;970;;;200
c540;980;990;970;;;200
c541;980;990;970;;;200
c542;980;990;970;;;200
c543;980;990;970;;;200
c548;980;990;970;;;200
c549;980;990;970;;;200
c55;980;990;970;;;210
c56;980;990;970;;;220
c57;980;990;970;;230;229
c570;980;990;970;;;220
c571;980;990;970;;;220
c572;980;990;970;;;220
c573;980;990;970;;;220
c574;980;990;970;;;220
c577;980;990;970;;230;229
c578;980;990;970;;230;229
c579;980;990;970;;230;229
c58;980;990;970;;;210
c60;980;990;970;;;260
c600;980;990;970;;;260
c601;980;990;970;;;260
c602;980;990;970;;;260
c608;980;990;970;;;260
c609;980;990;970;;;260
c61;980;990;;;;240
c62;980;990;970;;;250
c620;980;990;970;;;250
c621;980;990;970;;;250
c629;980;990;970;;;250
c63;980;990;970;;;260
c630;980;990;970;;;260
c631;980;990;970;;;260
c632;980;990;970;;;260
c637;980;990;970;;;260
c638;980;990;970;;;260
c639;980;990;970;;;260
c64;980;990;970;;;270
c65;980;990;970;;;280
c66;980;990;970;;;280
c67;980;990;970;;;280
c670;980;990;970;;;280
c671;980;990;970;;;280
c672;980;990;970;;;280
c673;980;990;970;;;280
c674;980;990;970;;;280
c675;980;990;970;;;280
c676;980;990;970;;;280
c677;980;990;970;;;280
c678;980;990;970;;;280
c679;980;990;970;;;280
c68;980;990;970;;;280
c680;980;990;970;;;280
c681;980;990;970;;;280
c688;980;990;970;;;280
c689;980;990;970;;;280
c69;980;990;970;;;310
